,City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol,CityName,Country,Region,City Location
542,Tokyo Metropolitan Government,2013,70733403.0, 5.183 ,13646764.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
543,Tokyo Metropolitan Government,2014,70125000.0, 5.189 ,13513734.0,2016,"The guideline set by the Ministry of environmnet , Japan",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
544,Tokyo Metropolitan Government,2015,61233101.0, 4.419 ,13857664.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
545,Tokyo Metropolitan Government,2016,57996872.0, 4.185 ,13857443.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
546,Tokyo Metropolitan Government,2017,57176147.0, 4.098 ,13951636.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
381,Government of Hong Kong Special Administrative Region,2014,44900000.0, 6.120 ,7336600.0,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
380,Government of Hong Kong Special Administrative Region,2012,42700000.0, 5.845 ,7305700.0,2016,"We made reference to the ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"".",Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
383,Government of Hong Kong Special Administrative Region,2016,40222676.0, 5.398 ,7451000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
382,Government of Hong Kong Special Administrative Region,2015,39841930.0, 5.390 ,7391700.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
384,Government of Hong Kong Special Administrative Region,2018,38880267.0, 5.179 ,7507400.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
99,City of Calgary,2018,18438546.0, 14.549 ,1267344.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calgary,Canada,North America,"(51.048615, -114.070846)"
98,City of Calgary,2017,18378045.0, 14.747 ,1246231.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Calgary,Canada,North America,"(51.048615, -114.070846)"
96,City of Calgary,2015,18207232.0, 15.123 ,1203915.0,2016,This is the first year using this protocol. The inventory was completed to a BASIC level.,Calgary,Canada,North America,"(51.048615, -114.070846)"
100,City of Calgary,2019,18042522.0, 14.033 ,1285711.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calgary,Canada,North America,"(51.048615, -114.070846)"
97,City of Calgary,2016,17679137.0, 14.314 ,1235055.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Calgary,Canada,North America,"(51.048615, -114.070846)"
65,City of Austin,2013,13700000.0, 15.424 ,888204.0,2016,,Austin,USA,North America,"(30.2672, -97.7431)"
66,City of Austin,2013,13001831.0, 14.244 ,912791.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Austin,USA,North America,"(30.2672, -97.7431)"
67,City of Austin,2016,12527277.0, 9.895 ,1265974.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Austin,USA,North America,"(30.2672, -97.7431)"
69,City of Austin,2018,11998240.0, 12.443 ,964254.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Austin,USA,North America,"(30.2672, -97.7431)"
68,City of Austin,2017,11524547.0, 9.392 ,1227000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Austin,USA,North America,"(30.2672, -97.7431)"
313,City of Sydney,2015,3783982.0, 17.939 ,210931.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
314,City of Sydney,2016,3717748.0, 15.941 ,233219.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
316,City of Sydney,2018,3682686.0, 14.750 ,249676.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
315,City of Sydney,2017,3677319.0, 15.308 ,240229.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
312,City of Sydney,2015,3556529.0, 17.320 ,205339.0,2016,"Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and 2014/15 years to be compliant with the Compact of Mayors. The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance.",Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
