,City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol,CityName,Country,Region,City Location
542,Tokyo Metropolitan Government,2013,70733403.0, 5.183 ,13646764.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
543,Tokyo Metropolitan Government,2014,70125000.0, 5.189 ,13513734.0,2016,"The guideline set by the Ministry of environmnet , Japan",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
528,Taichung City Government,2017,62173728.0, 22.174 ,2803894.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Taichung,Taiwan,East Asia,"(24.161859, 120.646967)"
544,Tokyo Metropolitan Government,2015,61233101.0, 4.419 ,13857664.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
545,Tokyo Metropolitan Government,2016,57996872.0, 4.185 ,13857443.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
546,Tokyo Metropolitan Government,2017,57176147.0, 4.098 ,13951636.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
471,New York City,2015,52042186.0, 6.096 ,8537673.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",New York City,USA,North America,"(40.7127837, -74.0059413)"
472,New York City,2016,51735403.0, 6.060 ,8537673.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",New York City,USA,North America,"(40.7127837, -74.0059413)"
470,New York City,2014,49385508.0, 5.816 ,8491079.0,2016,"ConEdison (ConEd) provided data on use of citywide electricity and steam, and natural gas in the Bronx, Manhattan, and parts of Queens. National Grid reported natural gas use data for Brooklyn, parts of Queens, and Staten Island. The Long Island Power Author- ity (LIPA) reported electricity use data for the Rockaways area of Queens. Fuel oil use was provided by private fuel oil suppliers, per Local Law 43 of 2013, which requires fuel oil providers to report fuel oil deliveries by fuel type to the City on an annual basis. The New York Metropolitan Transportation Council (NYMTC) provided on-road transportation vehicle-miles-traveled (VMT) data. Energy use data for public transit were provided by the Metropolitan Transportation Authority (MTA) for New York City Transit (NYCT) subways and buses, Staten Island Railway (SIR), MTA Metro-North Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail, and MTA Bus Company buses; by the Port Authority of New York and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail; and New Jersey Transit (NJT) for its commuter rail and buses. Data used to calculate fugitive and process CH4 and process N2O from wastewater treatment were provided by DEP. CH4 emissions were calculated based on the destruction of volatile material in anaerobic digesters. Based on the measured concentration and flow of volatile organic solids, it is estimated that 15 cubic feet of digester gas is produced for every pound of volatile organic solids destroyed. N2O emissions were calculated by applying the daily nitrogen load discharged by each of the City’s 14 wastewater treatment plant to the formula in the LGOP. Fugitive CH4 from in-city landfills was calculated from landfill gas collection data provided by the New York City Department of Sani- tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported solid waste was calculated using waste disposal figures for resi- dential, commercial, and construction and demolition waste and applying emissions factors from the USCP, which were taken from EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural gas distribution was calculated using data provided by National Grid and ConEd. Fugitive SF6 from electricity distribution was cal- culated using data provided by ConEd. .",New York City,USA,North America,"(40.7127837, -74.0059413)"
510,Seoul Metropolitan Government,2013,47612664.0, 4.624 ,10297138.0,2016,"Plus, For Local Government Greenhouse Gas Inventories., Korea Environment Corporation, 2010,)",Seoul,Republic of Korea,East Asia,POINT (126.978 37.5665)
512,Seoul Metropolitan Government,2017,46685000.0, 4.663 ,10010983.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Seoul,Republic of Korea,East Asia,POINT (126.978 37.5665)
511,Seoul Metropolitan Government,2015,45646000.0, 4.514 ,10112070.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Seoul,Republic of Korea,East Asia,POINT (126.978 37.5665)
381,Government of Hong Kong Special Administrative Region,2014,44900000.0, 6.120 ,7336600.0,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
380,Government of Hong Kong Special Administrative Region,2012,42700000.0, 5.845 ,7305700.0,2016,"We made reference to the ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"".",Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
383,Government of Hong Kong Special Administrative Region,2016,40222676.0, 5.398 ,7451000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
388,Greater London Authority,2013,40190000.0, 4.673 ,8600000.0,2016,"London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.",London ,United Kingdom,Europe,"(51.504858, -0.078689)"
389,Greater London Authority,2014,40096000.0, 4.662 ,8600000.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",London ,United Kingdom,Europe,"(51.504858, -0.078689)"
382,Government of Hong Kong Special Administrative Region,2015,39841930.0, 5.390 ,7391700.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
384,Government of Hong Kong Special Administrative Region,2018,38880267.0, 5.179 ,7507400.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
390,Greater London Authority,2015,33680515.0, 3.791 ,8883800.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",London ,United Kingdom,Europe,"(51.504858, -0.078689)"
111,City of Chicago,2010,33500000.0, 12.321 ,2719000.0,2016,"Chicago conducts regional GHG emissions inventories in-keeping with rigorous protocol and standards. New GHG methodologies and standards that were not available for previous analyses will be evaluated and adopted for future GHG emissions inventories, as-appropriate. The following GHG protocols were used in the 2010 Regional GHG Inventory: The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints. The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions.",Chicago,USA,North America,"(41.8781136, -87.6297982)"
113,City of Chicago,2015,32651379.0, 12.031 ,2714017.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Chicago,USA,North America,"(41.8781136, -87.6297982)"
426,Mexico City,2016,32087694.0, 3.633 ,8833416.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Mexico City,Mexico,Latin America,"(19.4326077, -99.133208)"
112,City of Chicago,2015,30955862.0, 11.379 ,2720546.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Chicago,USA,North America,"(41.8781136, -87.6297982)"
425,Mexico City,2014,30870170.0, 3.478 ,8874724.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Mexico City,Mexico,Latin America,"(19.4326077, -99.133208)"
191,City of Lagos,2014,29426266.0, 1.401 ,21000000.0,2016,,Lagos,Nigeria,Africa,POINT (3.3792 6.52437)
193,City of Lagos,2015,29333951.0, 1.182 ,24821418.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Lagos,Nigeria,Africa,POINT (3.3792 6.52437)
499,Región Metropolitana de Santiago,2013,28406420.0, 4.352 ,6527903.0,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
192,City of Lagos,2015,26443657.0, 1.259 ,21000000.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Lagos,Nigeria,Africa,POINT (3.3792 6.52437)
424,Mexico City,2014,23655111.0, 2.665 ,8874724.0,2016,"Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City",Mexico City,Mexico,Latin America,"(19.4326077, -99.133208)"
527,Taichung City Government,2016,23195411.0, 8.307 ,2792164.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Taichung,Taiwan,East Asia,"(24.161859, 120.646967)"
500,Región Metropolitana de Santiago,2016,23173131.0, 2.852 ,8125072.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
498,Región Metropolitana de Santiago,2013,23120028.0, 3.161 ,7314176.0,2016,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.",Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
102,City of Cape Town,2012,22643846.0, 5.778 ,3918830.0,2016,"During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report. The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category. Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train) The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors. In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.",Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
340,City of Yokohama,2013,21950000.0, 5.901 ,3719589.0,2016,"Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures. It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment.",Yokohama,Japan,East Asia,"(35.4437078, 139.6380256)"
104,City of Cape Town,2016,21509138.0, 5.152 ,4174510.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
103,City of Cape Town,2015,21233880.0, 5.292 ,4012441.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
105,City of Cape Town,2017,21145125.0, 5.006 ,4223565.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
342,City of Yokohama,2015,20960501.0, 5.618 ,3731096.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Yokohama,Japan,East Asia,"(35.4437078, 139.6380256)"
341,City of Yokohama,2014,20375000.0, 5.461 ,3731096.0,2017,Other,Yokohama,Japan,East Asia,"(35.4437078, 139.6380256)"
468,New Taipei City Government,2016,20144995.0, 5.053 ,3986689.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),New Taipei ,Taiwan,East Asia,"(25.0111, 121.4458)"
320,City of Toronto,2014,20043240.0, 7.280 ,2753100.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Toronto,Canada,North America,"(43.653226, -79.3831843)"
90,City of Buenos Aires,2014,19667128.0, 6.439 ,3054267.0,2016,"The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach.",Buenos Aires,Argentina,Latin America,"(-34.6037232, -58.3815931)"
469,New Taipei City Government,2018,19464204.0, 4.843 ,4018696.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),New Taipei ,Taiwan,East Asia,"(25.0111, 121.4458)"
